PID,SalePrice
907135180,125954.44664087663
528181040,219217.63086889475
528175010,218565.80124567574
531379030,185684.00874007435
923275090,128637.78235910932
528181070,227493.904397903
908103280,145403.83795498367
902201110,125685.79611651126
905103070,138244.75315593297
527162180,179624.718605474
905450020,145027.35492010298
535301150,155391.80013861158
535451170,84527.58477425353
909250060,204206.33160947103
527254020,328214.26232054667
911128180,77486.79884547488
534475170,175789.50358247902
535402180,122601.95256477011
528235180,183765.34860947996
907200130,126463.22666570694
906476030,184532.9177652065
923203090,143762.38065163806
903454020,77121.1029064081
534277060,113811.58413421654
535450220,135379.5083052243
527252090,294290.66056361026
535300040,131115.5839417039
533241010,225996.95702498307
903201090,105200.95452285306
921128030,339026.2834586643
535180020,152012.917247813
527106050,168421.7161156254
903233050,127700.34589455908
527105010,163541.691527283
907196050,212622.90706460102
535375010,85599.20496075327
909455040,178351.4490395209
911370410,252840.41534340358
906223080,202639.13175341228
902204080,90684.68089359767
916225130,284616.5793470087
534400060,160481.19901905773
528178090,360340.0862255925
528235190,198832.2516098261
906477110,152588.88440688912
902106090,128048.02375396267
535327160,117576.70427507084
909129100,124856.80752222723
909281110,215552.6631551625
528188120,197853.41908839895
528150120,335905.09561620955
535125060,218166.06148184536
906380120,194549.351256785
527451020,118772.17926064027
528429100,270027.9230124851
527132090,260587.92683663507
902427045,106845.78658214063
923276260,139948.83465822058
907290140,138766.35403582637
906380100,277500.74269611033
527377110,178378.89974762645
535379110,123508.88293547815
527427230,176025.47350622533
905105010,133005.8988112477
533215080,251921.1749090422
903484080,53097.47656607224
528441080,257284.1571089025
528120100,247503.14286641873
902301060,95378.96608429792
528231050,182516.1320946665
535353190,145012.1039837486
907201280,140995.7196935048
528315080,295527.15072741307
531375060,160885.62900026634
906200230,161219.18576865568
527451550,108194.75281125824
902103090,99460.50981281756
534401190,147502.6603457769
909425085,288738.53522306855
526352080,181226.3537929684
907126050,155665.08310283636
905352180,213550.05989350544
533212060,145333.54773996802
527356050,140271.62633032637
534479240,137978.63763957116
906226130,124311.32035302206
923228210,83178.48736457992
903227080,127870.72518169145
535179120,116881.6998356987
908201100,87622.92795470396
532479050,132207.09669307066
534402060,133680.34281286504
902109160,106106.69651042002
904302030,181206.39940116077
902300215,124353.9156614579
903228070,104192.80713932676
902406070,123914.7834451856
907410020,194888.87500726167
528365090,318857.6537200295
534450110,69620.61614698666
527146135,347772.82798537676
535325340,139498.46706015078
534452060,112401.21870488598
535325090,134743.42319790152
534202130,139219.4125951336
528118020,351451.5198705412
527214050,389078.24609502417
907401060,219617.03582819595
905104210,120856.65488468017
905225080,225946.88645126988
535178060,138135.622272327
914476450,158205.619004309
533250050,233669.07866624903
535450070,141089.28099249233
528181060,230950.41665060932
535454100,131476.66212086665
534476080,144440.25682443715
909452114,253293.0746726002
903476090,125912.97797903346
904101040,124494.94201987304
534431030,134785.66176171065
910202060,100288.28805782291
916386090,258155.73704362195
527451460,106731.63974820498
528290120,188673.42306707887
531375090,145259.65852555376
527403040,157579.60017589777
535453020,135978.47259748878
911175360,95164.55848623204
